client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f2201_80,0,,174,test,0.0,4.1895270347595215
f2230_67,0,,141,test,0.0,4.205681324005127
f2239_84,0,,168,test,0.0,4.1143269538879395
f2243_87,0,,158,test,0.0,4.198362827301025
f2280_57,0,,167,test,0.0,4.208380222320557
f2281_52,0,,183,test,0.05263157894736842,4.173333644866943
f2312_87,0,,159,test,0.0,4.1884355545043945
f2353_70,0,,171,test,0.0,4.196488380432129
f2356_86,0,,167,test,0.0,4.212090969085693
f2380_76,0,,170,test,0.0,4.164903163909912
f2402_75,0,,183,test,0.0,4.189225673675537
f2410_85,0,,169,test,0.0,4.1776041984558105
f2416_80,0,,169,test,0.0,4.114002704620361
f2422_85,0,,134,test,0.0,4.205291271209717
f2436_53,0,,155,test,0.0,4.188568115234375
f2475_66,0,,173,test,0.05555555555555555,4.143620491027832
f2486_95,0,,150,test,0.0,4.181989669799805
f2502_59,0,,164,test,0.0,4.122027397155762
f2507_78,0,,170,test,0.058823529411764705,4.151784420013428
f2535_60,0,,173,test,0.0,4.17884635925293
f2578_68,0,,177,test,0.0,4.191205978393555
f3100_44,0,,175,test,0.0,4.150112628936768
f3109_30,0,,177,test,0.0,4.1164164543151855
f3137_47,0,,169,test,0.0,4.181213855743408
f3152_47,0,,182,test,0.0,4.1504058837890625
f3199_08,0,,179,test,0.05555555555555555,4.194629669189453
f3248_19,0,,182,test,0.0,4.169724941253662
f3271_09,0,,177,test,0.0,4.181632041931152
f3275_40,0,,183,test,0.0,4.2075347900390625
f3278_33,0,,153,test,0.0,4.175682544708252
f3289_18,0,,181,test,0.0,4.224483966827393
f3294_06,0,,146,test,0.06666666666666667,4.20188570022583
f3345_12,0,,181,test,0.0,4.2317609786987305
f3346_12,0,,168,test,0.0,4.155563831329346
f3361_17,0,,178,test,0.0,4.128876686096191
f3390_07,0,,182,test,0.0,4.1042160987854
f3398_06,0,,172,test,0.0,4.212895393371582
f3420_27,0,,185,test,0.0,4.152825355529785
f3422_32,0,,170,test,0.0,4.1427435874938965
f3472_19,0,,149,test,0.0,4.1389594078063965
f3504_46,0,,181,test,0.0,4.159219264984131
f3506_22,0,,161,test,0.0,4.1895976066589355
f3558_12,0,,172,test,0.0,4.180626392364502
f3599_19,0,,162,test,0.0,4.170232772827148
f3614_06,0,,168,test,0.0,4.187628746032715
f3644_26,0,,172,test,0.0,4.184223175048828
f3701_44,0,,175,test,0.0,4.153226852416992
f3713_40,0,,173,test,0.0,4.107485771179199
f3726_09,0,,155,test,0.0,4.200469493865967
f3729_27,0,,181,test,0.0,4.14175271987915
f3741_12,0,,159,test,0.0,4.203027725219727
f3756_06,0,,178,test,0.05555555555555555,4.182120323181152
f3757_19,0,,180,test,0.0,4.13571834564209
f3792_21,0,,164,test,0.0,4.200319290161133
f3839_11,0,,153,test,0.0,4.1787943840026855
f3841_01,0,,178,test,0.0,4.189683437347412
